Genome ID,phenotype
562.140902,1.0
562.140907,1.0
562.140901,1.0
562.100421,1.0
562.140904,0.0
562.140964,0.0
562.10042,1.0
562.140906,0.0
562.140903,0.0
562.1409,0.0
562.140905,0.0
562.140857,0.0
562.14086,0.0
562.140858,0.0
562.140856,0.0
562.140854,0.0
562.140861,0.0
562.140852,0.0
562.140855,0.0
562.140859,0.0
562.140863,0.0
562.100771,0.0
562.140899,0.0
562.140898,0.0
562.140894,0.0
562.140893,0.0
562.140896,0.0
562.140897,0.0
562.140895,0.0
562.140891,0.0
562.140892,0.0
562.14089,0.0
562.14091,0.0
562.100775,0.0
562.100774,1.0
562.140911,1.0
562.140912,1.0
562.140914,1.0
562.140913,1.0
562.140915,1.0
562.140918,0.0
562.140919,1.0
562.140908,1.0
562.140909,1.0
562.140877,1.0
562.100115,0.0
562.100117,1.0
562.100424,0.0
562.100425,0.0
562.140876,1.0
562.140879,1.0
562.14088,1.0
562.100426,0.0
562.100776,0.0
562.140875,1.0
562.140874,1.0
562.140884,1.0
562.140887,1.0
562.140882,1.0
562.140883,1.0
562.140889,1.0
562.140888,1.0
562.140886,1.0
562.140885,1.0
562.140881,1.0
562.140878,1.0
562.140867,1.0
562.140865,1.0
562.140864,1.0
562.140862,1.0
562.14087,1.0
562.140869,1.0
562.140868,1.0
562.140866,1.0
562.140873,1.0
562.140872,1.0
562.140871,1.0
562.10078,0.0
562.100781,0.0
562.14083,0.0
562.140831,0.0
562.140832,0.0
562.140827,1.0
562.140829,1.0
562.140825,1.0
562.140826,1.0
562.140828,1.0
562.140824,1.0
562.140851,1.0
562.140853,1.0
562.140849,1.0
562.100122,0.0
562.14085,1.0
562.140845,1.0
562.140847,1.0
562.140843,1.0
562.140842,1.0
562.140846,1.0
562.140844,1.0
562.140839,1.0
562.14084,1.0
562.140848,1.0
562.140838,1.0
562.140836,1.0
562.140835,1.0
562.140841,1.0
562.140837,1.0
562.140834,1.0
562.140833,1.0
562.100427,1.0
562.100432,1.0
562.100434,0.0
562.100783,0.0
562.100787,0.0
562.100786,1.0
562.100789,0.0
562.100129,0.0
562.100436,0.0
562.100437,0.0
562.100439,0.0
562.10079,0.0
562.100795,0.0
562.100794,0.0
562.100797,0.0
562.10044,0.0
562.100445,0.0
