Genome Name,Genome ID,ampicillin,cefotaxime,ceftazidime,cefuroxime,ciprofloxacin,gentamicin,meropenem,piperacillin/tazobactam,tigecycline,trimethoprim/sulfamethoxazole
Escherichia coli 013-E1-S02,562.140884,1.0,,1.0,,1.0,0.0,0.0,,,1.0
Escherichia coli 013-E1-S04,562.140887,1.0,,1.0,,1.0,0.0,0.0,,,1.0
Escherichia coli 013-E1-U01,562.140882,1.0,,1.0,,1.0,0.0,0.0,,,1.0
Escherichia coli 013-E1-U02,562.140883,1.0,,1.0,,1.0,0.0,0.0,,,1.0
Escherichia coli 013-E1-U04,562.140889,1.0,,1.0,,1.0,0.0,0.0,,,1.0
Escherichia coli 013-E2-DxU,562.140888,1.0,,1.0,,1.0,0.0,0.0,,,1.0
Escherichia coli 013-E2-S01,562.140886,1.0,,1.0,,1.0,0.0,0.0,,,1.0
Escherichia coli 013-E2-S02,562.140885,1.0,,1.0,,1.0,0.0,0.0,,,1.0
Escherichia coli 013-E2-S04,562.140881,1.0,,1.0,,1.0,0.0,0.0,,,1.0
Escherichia coli 013-E2-S06,562.140878,1.0,,1.0,,1.0,0.0,0.0,,,1.0
Escherichia coli 013-E2-U01,562.140867,1.0,,1.0,,1.0,0.0,0.0,,,1.0
Escherichia coli 013-E2-U02,562.140865,1.0,,1.0,,1.0,0.0,0.0,,,1.0
Escherichia coli 013-E2-U04,562.140864,1.0,,1.0,,1.0,0.0,0.0,,,1.0
Escherichia coli 013-E3-DxU,562.140862,1.0,,1.0,,1.0,0.0,0.0,,,1.0
Escherichia coli 013-E3-S01,562.14087,1.0,,1.0,,1.0,0.0,0.0,,,1.0
Escherichia coli 013-E3-S02,562.140869,1.0,,1.0,,1.0,0.0,0.0,,,1.0
Escherichia coli 013-E3-S04,562.140868,1.0,,1.0,,1.0,0.0,0.0,,,1.0
Escherichia coli 013-E3-S06,562.140866,1.0,,1.0,,1.0,0.0,0.0,,,1.0
Escherichia coli 013-E3-U01,562.140873,1.0,,1.0,,1.0,0.0,0.0,,,1.0
Escherichia coli 013-E3-U02,562.140872,1.0,,1.0,,1.0,0.0,0.0,,,1.0
Escherichia coli 013-E3-U04,562.140871,1.0,,1.0,,1.0,0.0,0.0,,,1.0
Escherichia coli 01347184-7bb9-11e9-a8d3-68b59976a384,562.10078,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Escherichia coli 014e50d6-7bb9-11e9-a8d3-68b59976a384,562.100781,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Escherichia coli 015-E1-DxU,562.14083,1.0,,0.0,,1.0,0.0,0.0,,,0.0
Escherichia coli 015-E1-S06,562.140831,1.0,,0.0,,1.0,0.0,0.0,,,0.0
Escherichia coli 015-E1-S11,562.140832,1.0,,0.0,,1.0,0.0,0.0,,,0.0
Escherichia coli 016-E1-DxU,562.140827,1.0,,1.0,,1.0,0.0,0.0,,,1.0
Escherichia coli 016-E1-S01,562.140829,1.0,,1.0,,1.0,0.0,0.0,,,1.0
Escherichia coli 016-E1-S02,562.140825,1.0,,1.0,,1.0,0.0,0.0,,,1.0
Escherichia coli 016-E1-S04,562.140826,1.0,,1.0,,1.0,0.0,0.0,,,1.0
Escherichia coli 016-E1-S06,562.140828,1.0,,1.0,,1.0,0.0,0.0,,,1.0
Escherichia coli 016-E1-U01,562.140824,1.0,,1.0,,1.0,0.0,0.0,,,1.0
Escherichia coli 016-E1-U02,562.140851,1.0,,1.0,,1.0,0.0,0.0,,,1.0
Escherichia coli 016-E1-U04,562.140853,1.0,,1.0,,1.0,0.0,0.0,,,1.0
Escherichia coli 016-E1-U06,562.140849,1.0,,1.0,,1.0,0.0,0.0,,,1.0
Escherichia coli 0168d816-7bb9-11e9-a8d3-68b59976a384,562.100122,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Escherichia coli 018-E1-DxU,562.14085,1.0,,0.0,,1.0,1.0,0.0,,,1.0
Escherichia coli 018-E1-S01,562.140845,1.0,,0.0,,1.0,1.0,0.0,,,1.0
Escherichia coli 018-E1-S02,562.140847,1.0,,0.0,,1.0,1.0,0.0,,,1.0
Escherichia coli 018-E1-S04,562.140843,1.0,,0.0,,1.0,1.0,0.0,,,1.0
Escherichia coli 018-E1-S06,562.140842,1.0,,0.0,,1.0,1.0,0.0,,,1.0
Escherichia coli 018-E1-U01,562.140846,1.0,,0.0,,1.0,1.0,0.0,,,1.0
Escherichia coli 018-E1-U02,562.140844,1.0,,0.0,,1.0,1.0,0.0,,,1.0
Escherichia coli 018-E1-U04,562.140839,1.0,,0.0,,1.0,1.0,0.0,,,1.0
Escherichia coli 018-E1-U06,562.14084,1.0,,0.0,,1.0,1.0,0.0,,,1.0
Escherichia coli 018-E2-DxU,562.140848,1.0,,0.0,,1.0,1.0,0.0,,,1.0
Escherichia coli 018-E2-S01,562.140838,1.0,,0.0,,1.0,1.0,0.0,,,1.0
Escherichia coli 018-E2-S02,562.140836,1.0,,0.0,,1.0,1.0,0.0,,,1.0
Escherichia coli 018-E2-S04,562.140835,1.0,,0.0,,1.0,1.0,0.0,,,1.0
Escherichia coli 018-E2-S06,562.140841,1.0,,0.0,,1.0,1.0,0.0,,,1.0
Escherichia coli 018-E2-U02,562.140837,1.0,,0.0,,1.0,1.0,0.0,,,1.0
Escherichia coli 018-E2-U04,562.140834,1.0,,0.0,,1.0,1.0,0.0,,,1.0
Escherichia coli 018-E2-U06,562.140833,1.0,,0.0,,1.0,1.0,0.0,,,1.0
Escherichia coli 018731c6-7bb9-11e9-a8d3-68b59976a384,562.100427,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
Escherichia coli 01a14a66-7bb9-11e9-a8d3-68b59976a384,562.100432,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Escherichia coli 01bc0216-7bb9-11e9-a8d3-68b59976a384,562.100434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Escherichia coli 01e24002-7bb9-11e9-a8d3-68b59976a384,562.100783,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Escherichia coli 01fc8822-7bb9-11e9-a8d3-68b59976a384,562.100787,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Escherichia coli 02173e4c-7bb9-11e9-a8d3-68b59976a384,562.100786,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0
Escherichia coli 02314db4-7bb9-11e9-a8d3-68b59976a384,562.100789,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Escherichia coli 024bbfc8-7bb9-11e9-a8d3-68b59976a384,562.100129,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Escherichia coli 02659fce-7bb9-11e9-a8d3-68b59976a384,562.100436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Escherichia coli 02809928-7bb9-11e9-a8d3-68b59976a384,562.100437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Escherichia coli 029b3d3c-7bb9-11e9-a8d3-68b59976a384,562.100439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Escherichia coli 02b5b4a0-7bb9-11e9-a8d3-68b59976a384,562.10079,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Escherichia coli 02d0acf6-7bb9-11e9-a8d3-68b59976a384,562.100795,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Escherichia coli 02eb43c2-7bb9-11e9-a8d3-68b59976a384,562.100794,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Escherichia coli 0306a6ee-7bb9-11e9-a8d3-68b59976a384,562.100797,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Escherichia coli 033e081e-7bb9-11e9-a8d3-68b59976a384,562.10044,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Escherichia coli 035906a0-7bb9-11e9-a8d3-68b59976a384,562.100445,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Escherichia coli 0374b49a-7bb9-11e9-a8d3-68b59976a384,562.100447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Escherichia coli 03917602-7bb9-11e9-a8d3-68b59976a384,562.100801,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Escherichia coli 03ac8596-7bb9-11e9-a8d3-68b59976a384,562.100803,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0
Escherichia coli 03c7b7e4-7bb9-11e9-a8d3-68b59976a384,562.100804,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0
Escherichia coli 03e3549a-7bb9-11e9-a8d3-68b59976a384,562.100449,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
Escherichia coli 03fe84d6-7bb9-11e9-a8d3-68b59976a384,562.100143,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
Escherichia coli 041a72a4-7bb9-11e9-a8d3-68b59976a384,562.100452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Escherichia coli 043580d0-7bb9-11e9-a8d3-68b59976a384,562.100454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Escherichia coli 04512164-7bb9-11e9-a8d3-68b59976a384,562.100453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Escherichia coli 046c7b9e-7bb9-11e9-a8d3-68b59976a384,562.100807,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
